underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2024-10-10,SPX,2024-10-18,200.000,C,0.0000,0.0000,0.0000,0.0000,0,5,5563.6000,5,5581.7000,5774.3100,5776.0600,0.0000,5775.1850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,5571.2000,15,5588.8000,5779.6300,5781.1500,0.0000,47,
^SPX,2024-10-10,SPX,2024-10-18,200.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,4323,0.0500,5774.3100,5776.0600,0.0000,5775.1850,6.3305,-0.0000,0.0000,-0.0178,0.0007,-0.0000,0,0.0000,4680,0.0500,5779.6300,5781.1500,0.0000,191,
^SPX,2024-10-10,SPX,2024-10-18,400.000,C,0.0000,0.0000,0.0000,0.0000,0,5,5363.9000,5,5382.0000,5774.3100,5776.0600,0.0000,5775.1850,8.4445,0.9973,0.0000,-2.5632,0.0685,0.0168,5,5371.5000,15,5389.0000,5779.6300,5781.1500,0.0000,4,
^SPX,2024-10-10,SPX,2024-10-18,400.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,58,0.0500,5774.3100,5776.0600,0.0000,5775.1850,4.9803,-0.0000,0.0000,-0.0180,0.0009,-0.0000,0,0.0000,184,0.0500,5779.6300,5781.1500,0.0000,1426,
^SPX,2024-10-10,SPX,2024-10-18,600.000,C,0.0000,0.0000,0.0000,0.0000,0,5,5164.1000,5,5182.2000,5774.3100,5776.0600,0.0000,5775.1850,7.0786,0.9966,0.0000,-2.6544,0.0837,0.0587,5,5171.8000,15,5189.4000,5779.6300,5781.1500,0.0000,0,
^SPX,2024-10-10,SPX,2024-10-18,600.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,67,0.0500,5774.3100,5776.0600,0.0000,5775.1850,4.2099,-0.0000,0.0000,-0.0181,0.0010,-0.0000,0,0.0000,193,0.0500,5779.6300,5781.1500,0.0000,1467,
^SPX,2024-10-10,SPX,2024-10-18,800.000,C,0.0000,0.0000,0.0000,0.0000,0,5,4964.4000,5,4982.5000,5774.3100,5776.0600,0.0000,5775.1850,6.1590,0.9959,0.0000,-2.7431,0.0985,0.1045,5,4972.0000,15,4989.3000,5779.6300,5781.1500,0.0000,1,
^SPX,2024-10-10,SPX,2024-10-18,800.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,67,0.0500,5774.3100,5776.0600,0.0000,5775.1850,3.6713,-0.0000,0.0000,-0.0181,0.0012,-0.0001,0,0.0000,193,0.0500,5779.6300,5781.1500,0.0000,1677,
^SPX,2024-10-10,SPX,2024-10-18,1000.000,C,0.0000,0.0000,0.0000,0.0000,0,5,4764.7000,5,4782.8000,5774.3100,5776.0600,0.0000,5775.1850,5.4642,0.9953,0.0000,-2.8136,0.1128,0.1502,5,4772.3000,15,4789.5000,5779.6300,5781.1500,0.0000,760,
^SPX,2024-10-10,SPX,2024-10-18,1000.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,482,0.0500,5774.3100,5776.0600,0.0000,5775.1850,3.2573,-0.0000,0.0000,-0.0181,0.0013,-0.0001,0,0.0000,360,0.0500,5779.6300,5781.1500,0.0000,3643,
